Name,EID,MW 1:30-3:00,MW 3:00-4:30,"Communication, Signal Processing, Networks and Systems",Electronics and Integrated Circuits,Energy Systems and Renewable Energy,"Fields, Waves and Electromagnetic Systems",Nanoelectronics and Nanotechnology,Computer Architecture and Embedded Systems,Data Science and Information Processing,Software Engineering and Design,internet of things (IOT),internet / connectivity,"battery chargers, power",Rust programming,C programming,computer-aided design (CAD),machine learning principles,robotics,mechatronics,"FreeRTOS, IWi-SUN, CoAP, and IPv6 multicast",algorithm design,system modeling,dynamics,UX flow,system modeling.1,control systems,hardware interfacing,FPGA,image processing,RF signal processing,sensor characterization,design of experiment,navigation algorithm,blockchain,5G Networks
Name30,EID030,1,1,2,4,3,3,3,3,3,5,4,3,3,2,3,4,3,4,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3
Name31,EID031,1,1,2,3,1,2,1,3,4,5,3,3,3,1,4,5,3,5,5,1,5,3,4,5,4,4,3,3,2,1,4,4,4,1,1
Name32,EID032,1,1,3,5,3,3,3,5,4,5,5,5,4,5,5,4,4,5,4,5,5,5,3,4,5,3,5,5,4,3,4,4,4,3,4
Name33,EID033,1,1,2,2,2,2,2,4,4,5,3,4,3,3,4,2,3,3,2,1,4,3,2,3,2,2,1,1,2,1,3,3,4,4,4
Name34,EID034,0,1,1,1,1,1,1,4,4,5,4,4,1,1,2,1,3,1,1,3,3,2,1,4,1,1,1,1,1,1,1,3,3,3,3
Name35,EID035,0,1,1,1,2,1,1,2,2,5,4,3,1,3,3,3,2,1,1,2,1,2,1,4,2,2,2,2,1,1,2,2,2,4,4
Name36,EID036,0,1,3,4,3,4,3,4,4,5,4,4,4,3,3,2,4,4,3,2,4,3,3,3,4,3,4,3,4,3,3,2,4,4,3
Name37,EID037,1,1,5,1,1,4,1,4,5,3,3,3,2,2,4,2,5,4,3,1,4,3,3,2,4,5,4,2,5,5,3,3,4,2,4
Name38,EID038,1,1,2,2,1,1,1,5,4,5,5,4,3,2,5,2,4,3,3,3,4,4,2,3,3,3,4,3,3,2,2,2,4,4,3
Name39,EID039,1,1,1,1,1,1,1,2,3,5,1,1,1,3,4,2,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,4,2,1
Name40,EID040,1,1,3,5,2,2,2,5,2,3,4,4,4,2,4,3,2,3,2,2,3,3,2,2,2,2,4,5,2,2,2,3,3,2,3
Name41,EID041,1,0,4,5,1,3,2,4,4,4,4,4,3,1,4,3,1,1,1,1,3,3,3,4,2,3,2,4,2,2,2,4,4,2,2
Name42,EID042,1,0,4,4,4,2,1,5,5,5,2,2,4,3,4,5,5,5,5,1,3,2,3,2,2,4,4,1,5,2,1,3,4,4,1
Name43,EID043,1,1,4,4,2,2,2,5,5,5,3,3,3,3,5,3,4,4,3,2,5,4,3,3,4,4,4,4,4,3,4,4,5,5,5
Name44,EID044,0,1,3,1,5,3,2,4,2,4,3,3,5,2,4,5,3,4,4,1,2,1,1,1,1,3,3,4,3,3,3,2,2,1,2
Name45,EID045,1,1,3,3,1,2,1,2,4,5,2,2,1,1,4,4,5,5,3,1,5,5,5,5,5,3,2,2,2,1,5,4,4,1,1
Name46,EID046,1,1,2,4,5,3,1,2,2,4,3,3,5,1,4,4,3,3,4,2,4,4,2,4,3,3,4,3,2,2,2,2,2,1,1
Name47,EID047,1,1,4,2,1,2,4,4,5,5,4,4,2,1,4,5,5,5,5,5,4,4,2,5,4,4,2,2,5,4,2,4,3,1,4
Name48,EID048,1,1,3,4,1,2,1,5,4,5,3,3,3,1,5,4,1,1,1,1,4,4,4,4,4,4,4,4,2,2,4,4,4,1,1
Name49,EID049,1,1,3,4,1,1,1,5,2,5,4,4,2,3,4,5,2,5,5,2,3,4,4,4,4,4,4,2,3,2,3,5,5,3,3
Name50,EID050,1,1,3,3,1,1,1,4,3,5,3,4,2,3,5,5,3,4,4,2,5,3,3,3,3,4,4,3,4,3,3,3,3,3,3
Name51,EID051,0,1,1,1,1,1,1,2,5,5,3,4,1,3,5,1,5,3,1,1,5,2,2,2,4,1,3,1,4,2,2,5,5,4,3
Name52,EID052,0,1,5,4,2,3,3,2,1,1,4,4,4,2,4,3,2,3,3,3,2,2,3,2,2,3,3,3,4,4,4,3,3,4,4
Name53,EID053,0,1,3,5,4,2,2,3,4,3,4,4,5,3,3,3,3,4,3,3,3,3,3,2,2,4,5,5,4,4,4,4,3,4,4
Name54,EID054,0,1,1,1,1,1,1,3,5,5,4,4,2,2,4,3,5,3,3,3,5,3,3,3,3,2,1,1,1,1,1,1,3,3,3
Name55,EID055,1,1,3,3,3,3,3,2,3,5,5,5,1,1,5,3,3,1,1,1,4,1,1,4,1,1,1,1,1,5,1,1,1,5,5
Name56,EID056,1,0,4,5,1,2,2,5,5,5,4,4,2,5,5,1,4,5,4,2,4,2,2,4,2,3,4,4,4,3,2,2,4,2,2
Name57,EID057,1,1,5,4,5,4,3,1,1,1,1,1,4,1,2,3,1,3,3,1,1,4,3,1,4,4,4,1,1,3,3,4,1,1,2
Name58,EID058,1,1,2,3,2,2,1,3,4,5,4,4,3,3,5,3,5,3,2,2,5,4,5,5,4,3,3,4,2,3,2,5,3,3,3
Name59,EID059,1,0,3,3,4,4,2,3,3,2,2,2,4,2,3,2,3,2,2,1,1,1,3,3,2,4,4,3,3,3,3,3,3,2,2
Name60,EID060,1,1,3,3,1,1,3,4,5,5,3,3,3,2,5,4,4,5,3,3,5,3,2,5,2,3,3,3,4,3,3,4,4,3,3
Name61,EID061,1,1,3,3,2,2,2,4,5,5,3,3,3,3,5,3,5,3,3,3,5,3,3,3,3,3,5,5,3,3,3,3,3,3,3
Name62,EID062,1,1,4,3,4,3,4,4,4,5,4,4,3,2,4,3,2,2,2,2,5,4,4,4,4,3,3,4,4,4,4,5,4,4,4
Name63,EID063,0,1,3,3,3,3,2,2,3,5,3,3,3,2,4,3,3,2,2,3,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3
Name64,EID064,1,1,2,2,1,1,1,5,1,3,3,3,3,1,5,1,1,1,1,4,2,3,1,1,1,4,4,4,1,1,1,1,3,1,3
Name65,EID065,1,1,4,3,2,2,3,3,3,4,3,4,2,1,4,3,4,4,4,1,5,3,3,2,3,4,3,2,5,3,3,5,4,3,3
Name66,EID066,1,1,1,1,1,1,1,3,2,5,3,3,3,3,5,4,5,4,4,1,5,4,3,5,4,1,3,4,5,3,5,5,5,5,5
Name67,EID067,1,0,3,1,2,2,2,4,5,5,4,4,2,2,4,3,4,4,2,3,4,4,2,3,3,3,2,2,4,2,3,3,4,4,4
Name68,EID068,0,1,3,5,3,3,3,4,3,4,4,4,4,2,5,4,3,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3
Name69,EID069,1,1,2,3,2,1,2,5,4,5,2,2,3,1,5,4,4,5,5,1,5,3,1,1,3,5,5,4,4,3,3,5,2,1,1
Name70,EID070,0,1,2,1,1,1,1,2,5,4,2,2,1,2,4,5,5,5,4,3,2,3,2,2,2,1,1,1,4,3,1,3,2,3,3
Name71,EID071,0,1,4,2,1,2,1,4,4,4,4,4,4,1,4,3,3,2,2,3,4,3,2,3,2,3,4,3,3,2,3,4,3,3,2
Name72,EID072,1,1,3,3,2,1,1,5,5,5,5,5,1,1,4,2,5,4,4,1,5,5,3,4,5,5,3,4,2,1,3,5,4,2,1
Name73,EID073,1,1,3,5,4,3,3,4,3,4,4,4,3,3,4,4,2,2,2,3,1,1,1,1,1,1,3,4,1,2,3,1,1,1,3
Name74,EID074,0,1,1,1,1,1,1,4,5,5,4,2,2,2,4,2,4,2,2,2,4,2,2,2,2,2,2,2,4,2,2,4,4,4,2
Name75,EID075,1,1,2,3,2,2,2,3,3,5,3,3,3,3,4,5,4,5,4,2,5,4,2,2,4,2,2,2,3,2,2,3,4,3,2
Name76,EID076,1,1,4,4,3,3,3,4,4,5,5,5,4,3,5,4,3,3,3,3,4,5,4,5,5,5,4,4,3,3,4,5,5,5,5
Name77,EID077,0,1,4,5,2,3,3,4,2,2,2,2,2,1,4,2,2,4,4,1,1,1,1,1,1,2,4,4,2,4,4,4,2,1,1
Name78,EID078,1,1,1,1,1,1,1,1,3,5,1,1,1,3,5,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,3,3,4,1
Name79,EID079,1,1,3,4,4,5,3,1,2,1,3,3,4,2,1,1,3,4,4,2,2,2,4,3,2,4,3,1,2,3,3,2,2,3,3
Name80,EID080,1,0,3,2,1,2,1,5,5,5,5,5,1,5,5,4,3,5,4,2,4,5,1,5,5,5,3,2,4,1,2,2,4,3,2
Name81,EID081,0,1,2,1,1,1,2,2,5,5,5,4,1,3,5,4,4,4,3,2,5,3,2,5,3,2,3,2,5,3,3,3,5,5,5
Name82,EID082,1,1,5,1,1,1,1,1,5,5,5,4,2,4,5,4,4,4,2,5,5,2,1,4,2,1,1,4,4,2,1,1,5,5,5
Name83,EID083,1,1,3,3,1,2,1,3,5,5,2,2,1,1,5,4,3,2,2,1,5,3,3,3,3,3,3,4,4,3,3,4,3,1,1
Name84,EID084,1,0,4,5,3,5,4,3,3,4,4,4,4,3,3,3,4,5,5,3,3,3,3,3,3,4,4,3,2,2,3,4,4,3,3
Name85,EID085,1,0,2,4,3,5,5,4,2,4,4,4,4,1,4,3,3,3,3,2,4,4,4,2,4,5,5,1,1,3,3,4,4,2,3
Name86,EID086,1,1,4,4,3,4,1,5,2,5,3,2,4,3,5,5,2,5,4,3,3,3,3,2,3,5,4,2,2,3,3,3,3,2,3
Name87,EID087,1,1,4,5,4,3,2,4,5,5,4,5,4,3,2,2,5,4,2,2,3,2,3,2,2,2,4,5,2,5,2,4,2,2,3
Name88,EID088,1,0,5,4,3,4,2,5,4,3,5,4,3,2,4,4,4,5,2,2,4,5,5,3,5,5,4,3,5,3,4,3,4,2,5
Name89,EID089,0,1,2,3,1,3,1,5,3,5,2,4,1,1,5,3,3,3,3,1,4,2,1,1,1,3,2,2,3,2,2,4,3,2,3
Name90,EID090,1,1,3,5,4,3,3,1,2,1,3,3,5,3,3,3,1,3,3,2,2,3,3,3,4,4,5,5,3,3,3,3,2,3,3
Name91,EID091,1,1,1,1,1,1,1,4,2,5,3,2,1,1,4,2,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
Name92,EID092,1,1,3,4,2,4,3,4,3,3,3,4,4,2,5,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2
Name93,EID093,0,1,2,2,3,1,1,1,4,5,3,3,1,3,2,2,2,2,1,1,3,1,1,2,1,1,2,1,1,1,1,3,3,3,3
Name94,EID094,1,0,3,2,3,2,2,5,3,5,3,3,1,1,4,1,3,1,1,1,3,3,1,1,1,2,3,2,2,2,2,3,2,2,2
Name95,EID095,0,1,3,4,2,4,4,4,3,3,1,3,3,1,4,5,4,5,4,1,2,2,2,2,2,2,4,1,2,2,2,4,2,1,3
Name96,EID096,1,1,3,4,4,4,3,2,2,1,3,3,4,3,2,4,2,4,3,3,2,3,3,3,3,3,4,3,4,4,3,3,3,3,3
Name97,EID097,1,1,2,3,1,2,1,2,2,5,3,3,3,3,4,2,2,3,3,1,5,3,3,1,3,4,2,1,1,2,2,3,2,1,1
Name98,EID098,1,1,1,2,1,2,3,3,5,5,5,5,2,2,5,3,5,3,1,2,4,3,3,4,2,2,5,2,5,2,4,2,2,4,3
Name99,EID099,1,0,1,1,1,1,1,5,3,4,5,4,2,5,5,4,4,5,5,4,4,4,4,3,4,4,5,3,3,2,2,4,4,3,2
